time,total_count,total_count_I,total_count_R1,num_I,num_R1,time.y,S.x,E.x,I.x,R1.x,beta_t.x,R0.x,time_diff.x,Rt.x,time.y.y,S.y,E.y,I.y,R1.y,beta_t.y,R0.y,time_diff.y,Rt.y
176.5,656808039106.6666,394043662325.177,262764376781.49255,5229,19604,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
177,381242481938.3434,221128187525.12207,160114294413.22076,5102,19420,176.9995706451584,17388,1739,5102,19420,0.3571428571428571,2.5,4.2935484160011583e-4,0.44265,176.9995706451584,17388,1739,5102,19420,0.3571428571428571,2.5,4.2935484160011583e-4,0.44265
177.5,460134080195.3004,219896213977.33658,240237866217.96487,4996,19208,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
178,375675616253.6057,206659690328.65585,169015925924.95007,4877,18958,177.9999063119449,17084,1602,4877,18958,0.3571428571428571,2.5,9.36880551023478e-5,0.4347,177.9999063119449,17084,1602,4877,18958,0.3571428571428571,2.5,9.36880551023478e-5,0.4347
178.5,390687486706.7373,210833069535.785,179854417170.953,4752,18798,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
179,393747571786.4152,254356666041.1192,139390905745.29593,4586,18659,178.99970558972413,16799,1494,4586,18659,0.3571428571428571,2.5,2.944102758704048e-4,0.4271,178.99970558972413,16799,1494,4586,18659,0.3571428571428571,2.5,2.944102758704048e-4,0.4271
179.5,356187465607.5645,244157303250.98013,112030162356.585,4453,18468,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
180,312728773042.46515,199711428728.91916,113017344313.546,4320,18272,179.99998026800196,16513,1416,4320,18272,0.3571428571428571,2.5,1.973199803728676e-5,0.419975,179.99998026800196,16513,1416,4320,18272,0.3571428571428571,2.5,1.973199803728676e-5,0.419975
180.5,320811835649.27686,176440239633.32812,144371596015.94843,4208,18081,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
181,362626959539.7943,159413938825.3214,203213020714.47314,4067,17894,180.9992103166723,16278,1306,4067,17894,0.3571428571428571,2.5,7.896833276959114e-4,0.412825,180.9992103166723,16278,1306,4067,17894,0.3571428571428571,2.5,7.896833276959114e-4,0.412825
181.5,230216058842.9142,137324572203.48341,92891486639.43167,3925,17658,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
182,289124963605.19946,160194717932.4174,128930245672.78192,3812,17457,181.9994047356104,16043,1237,3812,17457,0.3571428571428571,2.5,5.952643896023346e-4,0.40695,181.9994047356104,16043,1237,3812,17457,0.3571428571428571,2.5,5.952643896023346e-4,0.40695
182.5,230544824794.993,130796737381.8229,99748087413.16971,3703,17252,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
183,220127233405.93716,104042677397.7037,116084556008.23334,3615,17040,182.99976273307269,15813,1180,3615,17040,0.3571428571428571,2.5,2.3726692731429464e-4,0.401075,182.99976273307269,15813,1180,3615,17040,0.3571428571428571,2.5,2.3726692731429464e-4,0.401075
183.5,324137438664.50867,149093666930.93958,175043771733.5687,3515,16847,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
184,247719598964.89758,150182124016.0334,97537474948.8641,3404,16642,183.99931071799037,15635,1041,3404,16642,0.3571428571428571,2.5,6.892820096311425e-4,0.395325,183.99931071799037,15635,1041,3404,16642,0.3571428571428571,2.5,6.892820096311425e-4,0.395325
184.5,252373118336.69345,149186127978.166,103186990358.52676,3315,16375,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
